text,country
"Believe it or not, Belgium is not all about Belgian waffles and Belgian chocolates. In fact, Belgian cuisine has a rich history that’s as diverse as the people of Belgium itself. Belgium’s French and Dutch-speaking populations have both inspired French cuisine, and so has the country’s geography and culture. One of Belgium’s most famous dishes is what we usually call French fries. Despite their name, historians believe that Belgium, not France, invented French fries! Unsurprisingly, fries are quite popular in Belgium, with many restaurants having their take on them. Given Belgium’s fishing heritage, it’s unsurprising that seafood makes up much of Belgian cuisine. Sea fare such as mussels, fish, and shrimp are a common sight on household dinner tables. Of course, no discussion about Belgian cuisine would be complete without Belgian waffles. Also known as Brussels waffles, these have large and deep squares. They come in both sweet and non-sweet varieties. Cooks put sugar, cream, strawberries, chocolates, and other garnishing on top for extra flavor.",Belgium
"t’s no surprise that a multi-ethnic country like Bosnia and Herzegovina also has many types of cuisine. Islamic and Christian values, along with the Mediterranean and Ottoman characteristics, are the main inspirations for Bosnian cuisine. Bosniaks, who are predominantly Muslim, do not consume pork and thus they primarily consume beef and lamb dishes. On the other hand, the ethnic Serbs and Croats, who are predominantly Christian, can consume pork. Cevapi is one of the most commonly consumed dishes in the country. It’s a type of kebab that’s made with pita bread made with either lamb or beef. Locals and tourists chow down on cevapi in restaurants, or more commonly, at food stalls. Another popular Bosnian dish is the burek. It’s a pie that’s filled with meat, vegetables, or other ingredients. An Ottoman dish is its progenitor. Locals and tourists primarily consume it at food stalls.",Bosnia
"Brazilian cuisine is a melting pot of the country’s multiethnic and multicultural history. You’ve got your native influences, Portuguese characteristics, borrowings from neighboring countries, and even nods to the country’s immigrant population. Yes, Brazilian cuisine takes inspiration from many different types of cuisine. Much like its neighbor and sometimes rival, barbecues are an important aspect of Brazilian cuisine. Churrasco is the local term for barbecues, which largely come in the form of grilled meat. Cooks then season the meat with salt then cook it over either wood or charcoal. One popular Brazilian dish is feijoada. A common staple in many Portuguese-speaking countries, the Brazilian version uses black beans mixed with meat and/or sausages.",Brazil
"Much like other types of Latin American cuisine, Chile’s cuisine is a fusion of indigenous flavors and colonial influences. Local geography and climate have also made their mark on Chilean cuisine. Chilean includes local twists on international fare. For example, Chileans use avocados to garnish their hotdogs (or completos)! Another popular treat in Chile is the empanada. While empanadas are common in countries with Spanish influence, Chile’s take is noticeably large and often square-shaped. Cooks either fry them or bake them in wood ovens. Chilean empanadas usually have meat fillings, much like most of the Spanish-speaking world. Finally, there’s the churrasco. It’s a kind of meat sandwich that uses Chilean grilled steak as its filling. It also has many varieties including a lo pobre (egg sandwiches) and Italiano (avocado and tomato fillings).",Chile
"Chinese cuisine is probably one of the more familiar types of Asian cuisine on this list. Like American cuisine, Chinese cuisine probably deserves a list of its own. Not surprising considering China is a country of over 1 billion people! While there are too many Chinese delicacies to mention in this list, we will list some of the most famous examples here. Firstly, no Chinese meal is complete without rice. Rice is not just China’s main staple food. It is also the basis for many types of food in China. These include rice cakes, noodles, and so on. Speaking of noodles, they are also a staple of Chinese cuisine. Noodles have a special place in Chinese culture. People young and old often eat them during New Year and birthdays as a symbol of long life. Finally, there’s the Peking duck. The Peking duck is not an everyday food in China. In fact, it is considered a delicacy. Made from roast duck, cooks slice the meat, while customers put the slices inside small pieces of flat bread. Most regions in China do enjoy rice and noodles as staple food bases. Tofu and soy sauce are also widely used.",China
"Colombian cuisine is one of the most diverse types of Latin American cuisine out there. Like most of its neighbors, native and colonial flavors come together to create a unique type of cuisine. For example, one of the most common examples of Colombian food is arepas, a cornmeal-based bread. Colombians either eat it alone or made sandwiches out of it. One local delicacy associated with the city of Cali is Aborrajado. Cooks fill bananas with cheese and fry the mixture. It is quite popular among tourists. Ajico, a chicken, potato, and corn soup, is another popular delicacy, particularly in the capital Bogota. Finally, there are obleas, which are essentially oversized communication wafers. It is a favorite among many Colombians and other neighboring people. They often spread caramel on top or make sandwiches with fruits and cream. The crown queen of Colombian cuisine is bandeja paisa, a gigantic concoction that features four or five types of meats, rice, eggs, plantains, beans and avocado. ",Colombia
"Similar to other types of Middle Eastern cuisine, Egyptian cuisine is a result of religious, geographic, and resource considerations. Legumes and vegetables are particularly popular in Egypt. This is not surprising, as these grow abundantly on the Nile Delta. Aish baladi is one of the most common food in Egypt. It’s similar to pita bread. Aish baladi is actually a descendant of various kinds of flatbreads that have been baked in Egypt since ancient times. Fittingly, the word “aish” means “life” in Arabic, showing the bread’s importance to the lives of the region’s people. Another staple of Egyptian cuisine is hummus. The chickpea-based dip is popular throughout the Middle East. While its exact origins are debated, its earliest known mentions are in Egyptian sources. Egyptian hummus is commonly eaten with pita and other food.",Egypt
"It’s no surprise that a country of over 7,000 islands and over 100 ethnic groups have such a diverse cuisine. Filipino cuisine has many influences: native, Malay, Indian, Arabic, Chinese, American, Japanese, Korean, and so much more. Each Philippine region has its specialty. Indeed, Filipino cuisine probably deserves a whole listicle of its own! Image from Adobe Stock. Adobo is perhaps the most popular Filipino dish. The term is actually Spanish in origin (it comes from the Spanish word for marinating), but Filipino in preparation. Adobo’s main ingredient is vinegar, although most variants also use soy sauce. Pork and chicken are the kinds of meat most commonly turned into adobo, although other ingredients are also possible. Pancit is another popular Filipino dish. Pancit is the Filipino word for noodles and is a product of centuries of Chinese contact and immigration. There are many kinds of pancit in the Philippines, but pancit canton (a kind of wheat noodle) is perhaps the most common. Pancit is a staple in celebrations such as birthdays, parties, and other events. Perhaps the most notorious Filipino dish internationally is balut. Balut are duck eggs that are partially developed. Filipinos and tourists most commonly eat it as street food. Lechon is a whole roasted pig that Filipinos commonly consume at celebrations. Feasts and parties are often not complete without either lechon or pancit. And yes, in case you’re wondering: yes, Filipinos love Jollibee. The popular chicken joint with an international cult following is a common sight in cities and developed towns.",Philippines
"German cuisine is one of the most interesting types of cuisine out there. It is perhaps most famous for its sausages and beer. And not without good reason. Both of these foods are staples, and Germans young and old love them. German sausages are among the country’s most famous cultural exports. In fact, the beloved Frankfurter takes its name from the city of Frankfurt. But perhaps the most famous German sausage is bratwurst. It’s traditionally made with pork, beef, or veal, and seasoned with herbs and spices. Despite being a German creation, it has spread worldwide. In fact, the German diaspora in places such as the United States has even created their takes on it! Sauerkraut is another of Germany‘s most famous dishes. It’s a fermented cabbage that Germans add to soups, meals, and even sausages! Many consider it to be Germany’s counterpart to Korea’s famous kimchi. Other beloved German foods include pretzels, rouladen (a stuffed meat dish cooked with mustard), and sauerbraten (a kind of sour pot roast). To get out of the usual, try konigsberger klopse. These meatballs are served in a creamy white sauce and topped with capers. They are usually accompanied by potatoes.",Germany
"Greece’s geography and centuries of history are all major influences on Greek cuisine. After all, Greece is next to the Mediterranean, so it’s no wonder that both the sea and outside influences have made their mark. The country’s cuisine takes large influence from Ottoman cuisine. This is not surprising since the Ottoman Empire ruled Greece for centuries. Gyros are a prime example of this. It’s a dish consisting of a flatbread filled with meat and vegetables. It’s actually a descendant of the kebab doner and is related to the shawarma. Greek cuisine also makes heavy use of olive oil. This is a result of the abundance of olive trees in the region. Other popular Greek dishes include moussaka, a baked dish made with meat, eggplants, and other vegetables, and dolmades, a stuffed dish.",Greece
"For a country with a history like Israel, it’s no surprise that religious dietary laws are a major influence on its cuisine. However, you’ll also find influences from its neighbors and other beliefs as well. Many dishes popular throughout the Middle East, such as hummus and falafel, are also popular in Israel. Because dietary laws forbid the consumption of pork and shellfish, meat dishes tend to be made from lamb or fish. Notably, Jews who strictly follow dietary laws actually maintain separate kitchens to separate meat and dairy products. However, such practices are not universal even among Jews. Given that many Israelis have ancestors who came from around the world, many influences have also made their way into Israel too. Examples of beloved Israeli dishes with foreign origins include the pastry jachnun, which was introduced by Yemeni immigrants, and chraime, which originally came from Libya.",Israel
"When one thinks of Jamaican cuisine, Jamaican patties are probably the first (or even only) thing that comes to mind. And while Jamaican patties are popular in Jamaica, the country has much more to offer. Jamaican cuisine is a mish-mash of Caribbean, African, and European flavors. Ackee and saltfish, Jamaica’s national dish, is an example of this fusion. Cod is common in Jamaican waters, and it’s served with the ackee fruit, which is actually native to Africa. Another popular Jamaican dish is jerk chicken, which uses a slow grill technique along with the use of spices such as thyme and scotch bonnet. Jerk chicken is the country's most famous dish.",Jamaica
"Kazakh cuisine has some conventional ingredients, but also some more exotic ones. Kazakhstan’s meat diet includes mutton among more conventional meats. However, there’s also more unusual meat involved: horse meat! Dating back to the Kazakh people’s nomadic ancestors, horse meat is central to Kazakh cuisine. Beshbarmak is Kazakhstan’s national dish. It involves boiling lamb or horse meat. Other core ingredients include square noodles. Interestingly, the name means “five fingers” in Kazakh.",Kazakhstan
"When one thinks of Asian types of cuisine, Korean cuisine is near the top of the list regarding ubiquity. Kimchi, that polarizing pickled dish with a smell that’s loved or hated, is central to Korean dinner tables. Other Korean favorites include bulgogi, a kind of marinated barbecue that uses grilled thin meat slices, samgyeopsal or thin pork belly strips, and gimbap (also spelled kimbap). Gimbap is similar to makizushi but uses cooking instead of raw ingredients, as well as using sesame oil instead of vinegar. One of the more popular types of fusion cuisine in Korea is Korean fried chicken. Korean fried chicken is often double-fried, crispy, and comes in sweet and spicy flavors. In Korea, it is often served with pickled radish and beer.",Korea
"New Zealand’s cuisine takes many influences from other types of cuisine. You’ll find Māori influences but also nods to English and Australian cuisines too. Even immigrants to New Zealand have made their mark on the country’s food. Given that New Zealand is next to the sea, it’s no surprise that seafood plays a big role in the country’s cuisine. Indeed, the country’s official tourism website claims that New Zealand has some of the best seafood in the world. Māori hāngī (or simply hāngī) is one of the most unique aspects of New Zealand cuisine. It’s a form of open-pit cooking where meat and other ingredients are heated by hot stones or even geothermal pits. New Zealanders of all kinds usually cook the Māori hāngī way during feasts and other special occasions.",New Zealand
"Like much of Latin America, Peruvian cuisine is a fusion of both indigenous and colonial tastes. Ingredients can either be native to Peru or originate from elsewhere in the former Spanish Empire. Immigrants have also brought in new tastes and ideas. For example, potatoes originated from Peru, so it’s no surprise that they’re a common ingredient in Peruvian dishes. Quinoa, a kind of grain that’s gained popularity worldwide due to its health benefits, is also native to Peru. Many consider ceviche to be Peru’s national dish, and not without good reason. This dish, which consists of fish cooked and marinated with citrus juices, is common street food. Another well-known Peruvian delicacy is roast guinea pig, also known as cuy. It’s often served on special occasions, and its taste has often been compared to that of duck. Peru is the sole country in South America with generally spicy cuisine. This has set it apart from the rest of the continent. Ceviche is the most exported dish, but other gems include aji de gallina (spicy chicken in cream), papas a la huancaina (potatoes bathed in a special sauce) and lomo saltado (stir-fried beef with rice). If you can only try one dish, make it ceviche. Many people think ceviche is raw fish, but the meat is actually cooked with generous amounts of lime juice.",Peru 
"Polish cuisine is a nod to the country’s heritage and geography. Meat is a common ingredient in Polish dishes, but noodles and even dumplings are not uncommon too. Many Polish dishes use pork as their main ingredient. Bigos is Poland‘s national dish. It’s characterized by the use of Polish sausages and can be mixed with other kinds of meat. Pork is most commonly used, but rabbit meat is a possible option! Kotlet schabowy, also known as simply schabowy, is a fried pork cutlet that’s similar to the pork cutlets of neighboring countries. Finally, there’s piergogi, a flour-based dumpling that’s often made with meat fillings and potatoes. To survive the long and cold Polish winters, locals love to sip a hot bowl of zurek. This comforting soup is made with fermented bread flour, sausages and egg",Poland
"Both local and international factors have made their mark on Spanish cuisine. After all, when you’re a historic seafaring country that once ruled much of the world, you’re sure to have a lot of offerings. Paella is perhaps the most famous Spanish dish in the world. While a beloved Spanish favorite, it also has a following in countries with and without former Spanish influence. Its main ingredients are olive oil, rice, and saffron. There are many kinds of paella, ranging from meat to seafood. What doesn’t change is that Spaniards and others most commonly serve paellas at celebrations and gatherings. Cochinillo asado is a whole roasted suckling pig. It is the progenitor of similar dishes around the world, such as the Philippines’ lechon. Other Spanish favorites include churros (long fried dough strips that are a popular street food worldwide), croquetas (Spain’s take on the croquette), and gazpacho (a blended tomato and vegetable soup and a summer favorite).
",Spain
"As the descendant of one of the most influential empires in world history, it’s not surprising that Turkish cuisine is a melting pot of flavors. After all, Turkey is at the intersection of the East and the West, which makes it a strong breeding ground for much diversity in its offerings. The kebab (also spelled kebap) is perhaps the most famous Turkish food in the world. It’s not actually a single dish but rather a way of cooking. Kebab simply refers to grilled meat, and there are many methods to choose from. In fact, some sources claim that there are over 30 variants of kebab! Kebabs can be served on barbecue sticks, or more commonly internationally, in wraps called doners. Doners are similar to shawarmas, but doners are the Turkish variety while shawarmas come from the Arabian Peninsula. Köfte is Turkey’s take on the classic meatball. They’re usually made from beef (unsurprising since Turkey is a majority Muslim nation) and often served with salad or beans. Anchovies, known locally as hamsi, are also a popular delicacy and are typically served fried. Finally, there’s dolma, meat-stuffed inside cabbage or grape leaves that’s also popular in Eastern Europe. Pide, often called Turkish pizza (though it differs in taste), is a general favorite with both locals and foreigners. ",Turkey
"Borscht, the red beet soup we’ve already mentioned earlier in this listicle, is Ukraine’s national dish. In fact, despite its popularity in Russia, it is a Ukrainian invention. Similarly, varenyky are a popular form of dumplings that many compare to the European pierogi. Finally, no discussion of Ukrainian cuisine would be complete without chicken Kiev. This traditional dish consisting of breaded chicken stuffed with butter sauce is not only popular in Ukraine but also internationally. In fact, tourism websites claim that many tourists crave it the moment they arrive in the capital Kyiv. ",Ukraine
"Like many Caribbean islands, Dominican cuisine comes from Taino, African and Hispanic heritages. You'll find rice and plantains in abundance as well as pork, corn, fresh tomato sauce and sofrito, a mix of herbs and spices that gives everything an extra bit of flavor. Wherever and whenever you get Dominican food, make sure you come hungry. Portions are always very generous, and the food tends to be filling. Try la bandera dominicana, which translates to ""the Dominican flag."" Considered the national dish, this hearty meal consists of rice, beans and your choice of meat.",Dominican Republic
"Because of travel restrictions, not as many people have tried authentic Cuban food the way it's done on the island. Still, Cuban restaurants outside of the country do a good job at keeping true to Caribbean flavors, even with new creations like the famous Cuban sandwich — which was actually invented in Tampa, Florida. An island staple that you have to try is ropa vieja, or ""old clothes."" The dish is made with shredded marinated beef and perfectly juicy roasted pork.",Cuba
"One of the things people love the most about visiting Morocco is getting to try its cuisine. Nuts and dried fruits like dates are extremely popular, as they provide sweetness, texture and nutrients. Food is usually heavily spiced, with saffron, ginger, turmeric and cinnamon being some of the most common ingredients in traditional dishes. There are many delicious Moroccan dishes, but the two most famous ones are couscous and tajine. Both include a type of grain, steamed vegetables and often meats.",Morocco
"Lebanese food shares elements with other Middle Eastern food, such as grains, dried fruits, legumes like chickpeas, and herbs and spices. There is also an abundance of fresh seafood, courtesy of the country's long coast. Olive oil is used on most dishes, though lemon juice is also typical. Try a juicy and tender shawarma if you're in the mood for something very filling. Or, for something lighter, go for fattoush, a light but delicious pita salad.",Lebanon
"Nigerian cuisine comes out as the most favored African food on Instagram. We're not surprised. Though spice level varies by region, Nigerian food is notoriously hot, but this is part of what makes it so darn good. Rice and starches like cassava, yams and plantains are consumed at least once a day. The Nigerian national dish is jollof rice, one of the best dishes on the African continent. It is made by cooking long-grain rice, meats, vegetables and spices in a single pot.",Nigeria
"The Malaysian population is generally divided into indigenous ethnic minorities, Malays, and ethnic Chinese and Indian people. This mix has made the country a veritable melting pot for languages, cultures and, of course, food. That is the secret to the succulence of Malaysian cuisine, which has yet to explode on the international scene but is very popular in Southeast Asia. Try dishes like lam soup; pulut kuning, made with glutinous rice; and mee goreng mamak, a Muslim Indian noodle dish with shrimp, meat, vegetables, egg and soy sauce. ",Malaysia
"With about 6,000 populated islands, Indonesia has great culinary diversity. Each region developed its own gastronomy, which often has little to do with those of other areas. Still, most places in Indonesia rely heavily on rice, noodles and soup. Nasi goreng is the country's national dish and one you are likely to find no matter where you are. It is made with fried rice, fermented carrots and a thick soy sauce. ",Indonesia
"he vibrancy of Puerto Rican culture comes alive in its dishes, a celebration of flavors that visitors have the opportunity to indulge in. Some of the favorites are mofongo, tostones, pasteles, arroz con gandules, tembleque, and coquito. Traditional Puerto Rican Mofongo.",Puerto Rico
"Costa Rican cuisine is known for being fairly mild, with high reliance on fruits and vegetables. Rice and black beans are a staple of most traditional Costa Rican meals, often served three times a day. Costa Rican fare is nutritionally well rounded, and nearly always cooked from scratch from fresh ingredients. Owing to the location of the country, tropical fruits and vegetables are readily available and included in the local cuisine. Rice and Beans are included in nearly every Costa Rican meal, especially breakfast. Potatoes are another Costa Rican staple, part of the starch-rich Tico diet. Pork and beef are the most commonly eaten meats, but chicken and fish dishes are also widely available, especially on the Caribbean coast. The plantain, a larger member of the banana family, is another commonly used fruit and can be served in a variety of ways. Ripe plantains (maduro) have a sweet flavor and can be fried in oil, baked in a honey or a sugar-based sauce, or put in soups. Green (unripe) plantains can be boiled in soups or can be sliced, fried, smashed and then refried to make patacones. These are often served with a bean dip or guacamole. Salsa Lizano was created in 1920 by a Costa Rican company called the Lizano company. During the past century, it has become a common condiment and element of Tico cooking in both households and restaurants all around the country. It has a tangy flavor and combines the following ingredients: water, sugar, salt, onions, carrots, cauliflower, cucumber, pepper, mustard, turmeric, and monosodium glutamate. Salsa Lizano is used in many Costa Rican dishes, including gallo pinto and tamales. It is compared to Worcestershire sauce.",Costa Rica
"Czech cuisine (Czech: česká kuchyně) has both influenced and been influenced by the cuisines of surrounding countries and nations. Many of the cakes and pastries that are popular in Central Europe originated within the Czech lands. Contemporary Czech cuisine is more meat-based than in previous periods; the current abundance of farmable meat has enriched its presence in regional cuisine. Traditionally, meat has been reserved for once-weekly consumption, typically on weekends. The body of Czech meals typically consists of two or more courses; the first course is traditionally soup, the second course is the main dish, and the third course can include supplementary courses, such as dessert or compote (kompot). In the Czech cuisine, thick soups and many kinds of sauces, both based on stewed or cooked vegetables and meats, often with cream, as well as baked meats with natural sauces (gravies), are popular dishes usually accompanied with beer, especially Pilsner, that Czechs consume the most in the world. Czech cuisine is also very strong in sweet main courses and desserts, a unique feature in European cuisines.",Czech Republic
